"id";"y";"x1";"x2";"ciudad";"sexo";"gEtario";"estado";"candidato";"estrato"
1;1683,83993720636;186,940947549832;7616,57802061333;4;"2";"1";1;1;2
2;1477,522397344;391,289367007733;7143,04877563451;4;"2";"2";1;NA;2
3;1953,0969024403;583,918409748388;8343,52683509359;4;"2";"3";1;1;3
4;988,447289681062;533,386293903016;4185,78280693419;4;"2";"2";1;1;3
5;1643,32844053861;530,880767386748;5336,36735406487;4;"1";"1";1;1;3
6;490,822096122429;412,632077676213;2144,65097187565;4;"1";"1";1;1;3
7;1073,14561526291;493,982465020461;3730,63650218826;4;"2";"2";1;1;3
8;1858,38548822794;444,936825874774;6419,27815038582;4;"1";"3";0;1;1
9;1674,77966977749;238,935741773656;7137,67863149092;4;"2";"3";1;1;2
10;1451,99637140613;356,674768231642;7513,12208245905;4;"1";"2";1;1;2
11;635,915756458417;446,918889371837;4149,30076194763;4;"2";"3";0;1;1
12;1796,40114107169;432,518452532151;6005,13357493504;4;"1";"3";1;1;3
13;1552,94179988559;403,954150775416;7080,39333924827;4;"1";"2";1;1;3
14;412,25936007686;313,212285565151;829,855732767121;4;"1";"1";1;NA;2
15;1490,94135945197;305,276439987322;5344,99016712246;4;"2";"2";1;NA;2
16;580,901740002446;394,41709301039;4768,87082808017;4;"2";"2";1;1;2
17;1065,92103741132;402,007577156287;5742,96584049332;4;"2";"3";1;1;3
18;1273,84619035292;474,114165513745;5576,30657326986;4;"2";"2";1;1;3
19;1255,7402265491;606,91695081389;7012,128978345;4;"1";"3";1;1;3
20;581,493607559241;358,018982181662;961,276540716228;4;"1";"1";1;1;2
21;248,482016078196;531,774136968135;91,008099749705;4;"1";"1";1;1;3
22;1637,70432206802;370,485184317215;6089,2698590208;4;"2";"2";1;NA;2
23;171,118619153276;412,639919335873;-1451,19522985085;4;"2";"1";1;1;3
24;1125,76484596357;470,18193906454;5604,88675895355;4;"1";"3";1;1;3
25;608,723132498562;384,955045434561;5783,97941055565;4;"1";"1";1;NA;2
26;1646,69527059887;349,022965926738;5915,4754986052;4;"1";"3";1;1;2
27;1419,4831619272;488,230590382336;5274,85455191305;4;"2";"1";0;1;1
28;1799,75531380624;213,481033929821;5725,3727522514;4;"2";"1";1;NA;2
29;175,631111930124;535,268817727774;3164,26226176046;4;"1";"1";1;1;3
30;347,867898084223;235,585312220163;438,898506453027;4;"1";"3";1;1;2
31;228,192577767186;264,870068873976;2206,79594656705;4;"1";"3";1;NA;2
32;173,29216315411;424,457075840808;34,7657614454979;4;"1";"3";0;NA;1
33;1273,43384253327;450,994383097726;4227,27209517089;4;"2";"2";1;1;3
34;286,610687128268;506,033250611406;2268,0671768924;4;"1";"1";1;1;3
35;815,557400207035;480,49082425341;3194,59678490353;4;"1";"2";1;1;3
36;1701,28366965801;411,969598087533;5873,25447370379;4;"1";"2";1;1;3
37;1668,25293207075;366,653368056746;7198,28625863823;4;"1";"1";0;1;1
38;177,68663871102;412,331088329387;271,526418614418;4;"1";"3";1;1;3
39;1865,77088870108;407,283751536605;5660,83170810715;4;"1";"3";1;1;3
40;187,428196473047;375,098015652987;2098,87955991562;4;"1";"1";1;1;2
41;469,879615539685;331,757468296655;2549,63205889758;4;"2";"1";1;1;2
42;900,913083460182;395,621230192654;2986,13168724423;4;"2";"3";1;1;2
43;1683,53141290136;517,371496519949;5895,34170238302;4;"1";"1";1;1;3
44;1020,91703771148;422,051688389357;5720,93921218829;4;"1";"1";1;1;3
45;1723,25497025158;376,158640800817;6686,62980769481;4;"1";"3";1;1;2
46;1219,56670666113;551,423296066899;2898,25276395817;4;"2";"3";1;1;3
47;1194,15092933923;398,160394258788;4683,00428683912;4;"1";"2";1;1;2
48;988,22023330722;538,731349552209;4646,04796758421;4;"2";"1";1;1;3
49;553,535900637507;397,199465879557;1151,10770057915;4;"1";"2";1;NA;2
50;550,704377423972;457,628094804788;3787,18350978598;4;"2";"3";1;1;3
51;539,376645116135;261,687047576406;1703,90556314802;4;"2";"3";1;NA;2
52;1979,07701237127;346,139675647121;3960,69679997999;4;"2";"2";1;1;2
